Persona:int,ComunaOrigen:int,ComunaDestino:int
10243202,99,98
10243202,98,99
10243203,99,82
10243203,82,99
10244001,99,98
10244001,98,99
10244002,99,328
10244002,328,99
10246101,99,337
10246101,337,99
10246102,99,99
10246102,99,99
10247101,99,0
10247101,0,99
10247101,99,77
10247101,77,333
10247101,333,94
10247101,94,339
10247101,339,99
10247102,99,0
10247102,0,99
10247102,99,77
10247102,77,333
10247102,333,94
10247102,94,339
10247102,339,99
10247103,99,0
10247103,0,99
10247103,99,77
10247103,77,333
10247103,333,94
10247103,94,339
10247103,339,99
10248001,99,85
10248001,85,99
10248002,99,99
10248002,99,99
10248003,99,85
10248003,85,99
10249101,99,98
10249101,98,99
10250101,99,99
10250101,99,99
10250101,99,99
10250101,99,99
10250101,99,99
10250102,99,99
10250102,99,99
10250102,99,0
10250103,99,99
10250103,99,99
10250104,99,72
10250104,72,99
10251001,99,99
10251001,99,99
10251001,99,99
10251001,99,99
10251003,99,99
10251003,99,99
10251003,99,99
10251003,99,99
10251004,99,99
10251004,99,99
10252101,99,99
10252101,99,99
10252102,99,99
10252102,99,99
10252102,99,99
10252102,99,99
10252103,99,99
10252103,99,99
10253001,99,99
10253001,99,99
10253001,99,99
10253001,99,99
10253002,99,0
10253002,0,99
10253003,99,94
10253003,94,99
10253004,99,94
10253004,94,99
10253005,99,99
10253005,99,99
10254202,99,70
10254202,70,99
10254203,99,99
10254203,99,99
10255001,99,0
10255001,0,99
10255003,99,99
10255003,99,99
10255004,99,99
10255004,99,99
